source_sha256,source_url,physical_pdf_page,printed_page,period_start,period_end,native_licensee,native_operator,operator,row_type,channel,frequency,handle,winnings,federal_excise_tax,adjusted_revenue,tax,reported_revenue_name,report_status,rounding_unit_usd,transcription_note
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,146,154,2025-05-01,2025-05-31,Ellis Park,Penn Sports Inter...,Penn Sports Inter...,operator,online,monthly,5624708,5003566,14031,607111,86513,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,146,154,2025-05-01,2025-05-31,Kentucky Downs,Circa,Circa,operator,online,monthly,2232481,1477802,5562,749118,0,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,146,154,2025-05-01,2025-05-31,Oak Grove,Fanatics,Fanatics,operator,online,monthly,11229238,9996763,26735,1205741,171818,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,146,154,2025-05-01,2025-05-31,Red Mile,Caesars,Caesars,operator,online,monthly,9987300,9260220,24692,702388,100090,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,146,154,2025-05-01,2025-05-31,Sandy's,bet365,bet365,operator,online,monthly,20208877,18321326,49515,1838036,261920,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,146,154,2025-05-01,2025-05-31,Sandy's,BetMGM,BetMGM,operator,online,monthly,9871718,8808263,23721,1039734,148162,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,146,154,2025-05-01,2025-05-31,Turfway Park,Fanduel,Fanduel,operator,online,monthly,68946664,58987007,166844,9792812,1395476,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,146,154,2025-05-01,2025-05-31,Grand Total,Grand Total,STATEWIDE,official_statewide_total,online,monthly,205007688,179384848,498447,25124394,3473477,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,147,155,2025-06-01,2025-06-30,Cumberland Run,DraftKings,DraftKings,operator,online,monthly,67454746,58505402,164140,8785203,1251891,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,147,155,2025-06-01,2025-06-30,Ellis Park,Penn Sports Inter...,Penn Sports Inter...,operator,online,monthly,4858353,4333273,12102,512979,73099,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,147,155,2025-06-01,2025-06-30,Kentucky Downs,Circa,Circa,operator,online,monthly,1633807,1580145,4043,49619,0,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,147,155,2025-06-01,2025-06-30,Oak Grove,Fanatics,Fanatics,operator,online,monthly,10094883,8711011,24055,1359818,193774,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,147,155,2025-06-01,2025-06-30,Red Mile,Caesars,Caesars,operator,online,monthly,7405935,6574747,18269,812919,115841,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,147,155,2025-06-01,2025-06-30,Sandy's,bet365,bet365,operator,online,monthly,17696171,16028329,43460,1624382,231474,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,147,155,2025-06-01,2025-06-30,Sandy's,BetMGM,BetMGM,operator,online,monthly,8503587,7543315,20479,939793,133920,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,147,155,2025-06-01,2025-06-30,Turfway Park,Fanduel,Fanduel,operator,online,monthly,53777483,45446438,129934,8201112,1168658,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,147,155,2025-06-01,2025-06-30,Grand Total,Grand Total,STATEWIDE,official_statewide_total,online,monthly,171424965,148722659,416481,22285825,3168659,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
4ed25614f397f74d68bc69ee97bc739baaec8b1e397ae435f8bb863dbf8270fd,https://khrc.ky.gov/Documents/20260609%20Board%20Meeting%20Materials%20-%20Public.pdf,89,115,2026-04-01,2026-04-30,Churchill Downs,Prime,Prime,operator,online,monthly,1693704,1654342,4315,35047,4994,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
4ed25614f397f74d68bc69ee97bc739baaec8b1e397ae435f8bb863dbf8270fd,https://khrc.ky.gov/Documents/20260609%20Board%20Meeting%20Materials%20-%20Public.pdf,89,115,2026-04-01,2026-04-30,Cumberland Run,DraftKings,DraftKings,operator,online,monthly,85240627,74951832,207878,10080917,1436531,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
4ed25614f397f74d68bc69ee97bc739baaec8b1e397ae435f8bb863dbf8270fd,https://khrc.ky.gov/Documents/20260609%20Board%20Meeting%20Materials%20-%20Public.pdf,89,115,2026-04-01,2026-04-30,Ellis Park,"Penn Sports Interactive, LLC","Penn Sports Interactive, LLC",operator,online,monthly,3526453,3156820,8783,360850,51421,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
4ed25614f397f74d68bc69ee97bc739baaec8b1e397ae435f8bb863dbf8270fd,https://khrc.ky.gov/Documents/20260609%20Board%20Meeting%20Materials%20-%20Public.pdf,89,115,2026-04-01,2026-04-30,Kentucky Downs,Circa,Circa,operator,online,monthly,1344773,1286011,3339,55423,0,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
4ed25614f397f74d68bc69ee97bc739baaec8b1e397ae435f8bb863dbf8270fd,https://khrc.ky.gov/Documents/20260609%20Board%20Meeting%20Materials%20-%20Public.pdf,89,115,2026-04-01,2026-04-30,Oak Grove,Fanatics,Fanatics,operator,online,monthly,15522513,14065846,37442,1419226,202240,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
4ed25614f397f74d68bc69ee97bc739baaec8b1e397ae435f8bb863dbf8270fd,https://khrc.ky.gov/Documents/20260609%20Board%20Meeting%20Materials%20-%20Public.pdf,89,115,2026-04-01,2026-04-30,Red Mile,Caesars,Caesars,operator,online,monthly,10900961,9926032,26725,948205,135119,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
4ed25614f397f74d68bc69ee97bc739baaec8b1e397ae435f8bb863dbf8270fd,https://khrc.ky.gov/Documents/20260609%20Board%20Meeting%20Materials%20-%20Public.pdf,89,115,2026-04-01,2026-04-30,Sandy's,bet365,bet365,operator,online,monthly,25609394,23132813,61587,2414994,344137,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
4ed25614f397f74d68bc69ee97bc739baaec8b1e397ae435f8bb863dbf8270fd,https://khrc.ky.gov/Documents/20260609%20Board%20Meeting%20Materials%20-%20Public.pdf,89,115,2026-04-01,2026-04-30,Sandy's,BetMGM,BetMGM,operator,online,monthly,15243947,14001164,37021,1205761,171821,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
4ed25614f397f74d68bc69ee97bc739baaec8b1e397ae435f8bb863dbf8270fd,https://khrc.ky.gov/Documents/20260609%20Board%20Meeting%20Materials%20-%20Public.pdf,89,115,2026-04-01,2026-04-30,Turfway Park,Fanduel,Fanduel,operator,online,monthly,66943676,57393909,160834,9388933,1337923,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
4ed25614f397f74d68bc69ee97bc739baaec8b1e397ae435f8bb863dbf8270fd,https://khrc.ky.gov/Documents/20260609%20Board%20Meeting%20Materials%20-%20Public.pdf,89,115,2026-04-01,2026-04-30,Grand Total,Grand Total,STATEWIDE,official_statewide_total,online,monthly,226026049,199568769,547924,25909355,3684185,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
fb021bb81ff28d99b4a2b1f01c45bf51cde440d4e59fedc1b00d162f510b0326,https://khrc.ky.gov/Documents/20260811%20Board%20Meeting%20Materials%20-%20Public.pdf,47,50,2026-05-01,2026-05-31,Churchill Downs,Prime,Prime,operator,online,monthly,1153528,1052013,2884,98631,14055,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
fb021bb81ff28d99b4a2b1f01c45bf51cde440d4e59fedc1b00d162f510b0326,https://khrc.ky.gov/Documents/20260811%20Board%20Meeting%20Materials%20-%20Public.pdf,47,50,2026-05-01,2026-05-31,Cumberland Run,DraftKings,DraftKings,operator,online,monthly,89362971,80055195,218497,9089279,1295222,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
fb021bb81ff28d99b4a2b1f01c45bf51cde440d4e59fedc1b00d162f510b0326,https://khrc.ky.gov/Documents/20260811%20Board%20Meeting%20Materials%20-%20Public.pdf,47,50,2026-05-01,2026-05-31,Ellis Park,"Penn Sports Interactive, LLC","Penn Sports Interactive, LLC",operator,online,monthly,2515163,2198621,6295,310247,44210,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
fb021bb81ff28d99b4a2b1f01c45bf51cde440d4e59fedc1b00d162f510b0326,https://khrc.ky.gov/Documents/20260811%20Board%20Meeting%20Materials%20-%20Public.pdf,47,50,2026-05-01,2026-05-31,Kentucky Downs,Circa,Circa,operator,online,monthly,1344694,1283925,3332,57437,0,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
fb021bb81ff28d99b4a2b1f01c45bf51cde440d4e59fedc1b00d162f510b0326,https://khrc.ky.gov/Documents/20260811%20Board%20Meeting%20Materials%20-%20Public.pdf,47,50,2026-05-01,2026-05-31,Oak Grove,Fanatics,Fanatics,operator,online,monthly,14619066,12838017,35065,1745984,248803,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
fb021bb81ff28d99b4a2b1f01c45bf51cde440d4e59fedc1b00d162f510b0326,https://khrc.ky.gov/Documents/20260811%20Board%20Meeting%20Materials%20-%20Public.pdf,47,50,2026-05-01,2026-05-31,Red Mile,Caesars,Caesars,operator,online,monthly,11173767,10120833,27421,1025513,146136,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
fb021bb81ff28d99b4a2b1f01c45bf51cde440d4e59fedc1b00d162f510b0326,https://khrc.ky.gov/Documents/20260811%20Board%20Meeting%20Materials%20-%20Public.pdf,47,50,2026-05-01,2026-05-31,Sandy's,bet365,bet365,operator,online,monthly,24799167,22586561,60536,2152070,306670,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
fb021bb81ff28d99b4a2b1f01c45bf51cde440d4e59fedc1b00d162f510b0326,https://khrc.ky.gov/Documents/20260811%20Board%20Meeting%20Materials%20-%20Public.pdf,47,50,2026-05-01,2026-05-31,Sandy's,BetMGM,BetMGM,operator,online,monthly,16331238,14748616,39640,1542982,219875,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
fb021bb81ff28d99b4a2b1f01c45bf51cde440d4e59fedc1b00d162f510b0326,https://khrc.ky.gov/Documents/20260811%20Board%20Meeting%20Materials%20-%20Public.pdf,47,50,2026-05-01,2026-05-31,Turfway Park,Fanduel,Fanduel,operator,online,monthly,75860283,66149762,182724,9527797,1357711,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
fb021bb81ff28d99b4a2b1f01c45bf51cde440d4e59fedc1b00d162f510b0326,https://khrc.ky.gov/Documents/20260811%20Board%20Meeting%20Materials%20-%20Public.pdf,47,50,2026-05-01,2026-05-31,Grand Total,Grand Total,STATEWIDE,official_statewide_total,online,monthly,237159877,211033544,576394,25549939,3632682,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
fb021bb81ff28d99b4a2b1f01c45bf51cde440d4e59fedc1b00d162f510b0326,https://khrc.ky.gov/Documents/20260811%20Board%20Meeting%20Materials%20-%20Public.pdf,48,51,2026-06-01,2026-06-30,Churchill Downs,Prime,Prime,operator,online,monthly,1643844,1584211,4130,55503,7909,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
fb021bb81ff28d99b4a2b1f01c45bf51cde440d4e59fedc1b00d162f510b0326,https://khrc.ky.gov/Documents/20260811%20Board%20Meeting%20Materials%20-%20Public.pdf,48,51,2026-06-01,2026-06-30,Cumberland Run,DraftKings,DraftKings,operator,online,monthly,85080407,77284752,207263,7588392,1081346,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
fb021bb81ff28d99b4a2b1f01c45bf51cde440d4e59fedc1b00d162f510b0326,https://khrc.ky.gov/Documents/20260811%20Board%20Meeting%20Materials%20-%20Public.pdf,48,51,2026-06-01,2026-06-30,Ellis Park,"Penn Sports Interactive, LLC","Penn Sports Interactive, LLC",operator,online,monthly,2496609,2235684,6263,254663,36289,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
fb021bb81ff28d99b4a2b1f01c45bf51cde440d4e59fedc1b00d162f510b0326,https://khrc.ky.gov/Documents/20260811%20Board%20Meeting%20Materials%20-%20Public.pdf,48,51,2026-06-01,2026-06-30,Kentucky Downs,Circa,Circa,operator,online,monthly,1973351,1987392,4850,-18891,0,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
fb021bb81ff28d99b4a2b1f01c45bf51cde440d4e59fedc1b00d162f510b0326,https://khrc.ky.gov/Documents/20260811%20Board%20Meeting%20Materials%20-%20Public.pdf,48,51,2026-06-01,2026-06-30,Oak Grove,Fanatics,Fanatics,operator,online,monthly,14300687,13221031,34744,1044912,148900,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
fb021bb81ff28d99b4a2b1f01c45bf51cde440d4e59fedc1b00d162f510b0326,https://khrc.ky.gov/Documents/20260811%20Board%20Meeting%20Materials%20-%20Public.pdf,48,51,2026-06-01,2026-06-30,Red Mile,Caesars,Caesars,operator,online,monthly,10119150,9449198,24913,645038,91918,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
fb021bb81ff28d99b4a2b1f01c45bf51cde440d4e59fedc1b00d162f510b0326,https://khrc.ky.gov/Documents/20260811%20Board%20Meeting%20Materials%20-%20Public.pdf,48,51,2026-06-01,2026-06-30,Sandy's,bet365,bet365,operator,online,monthly,25125436,23116387,60531,1948518,277664,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
fb021bb81ff28d99b4a2b1f01c45bf51cde440d4e59fedc1b00d162f510b0326,https://khrc.ky.gov/Documents/20260811%20Board%20Meeting%20Materials%20-%20Public.pdf,48,51,2026-06-01,2026-06-30,Sandy's,BetMGM,BetMGM,operator,online,monthly,15856287,14585017,38140,1233131,175721,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
fb021bb81ff28d99b4a2b1f01c45bf51cde440d4e59fedc1b00d162f510b0326,https://khrc.ky.gov/Documents/20260811%20Board%20Meeting%20Materials%20-%20Public.pdf,48,51,2026-06-01,2026-06-30,Turfway Park,Fanduel,Fanduel,operator,online,monthly,62709800,56180253,151299,6378249,908900,Approximate AGR,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
